Figure Name,Figure Filename,Full Saved Path,Source Table,Purpose
Selected-State Observed Completion Trends,selected_state_completion_trend_grid.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/selected_state_completion_trend_grid.png,completion_rate_trend_source_df,Shows state-specific observed completion-rate trends before modelling.
Students per Teacher by Stage,students_per_teacher_by_stage.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/students_per_teacher_by_stage.png,education_features_df,Shows education-capacity feature trends by target stage.
Students per School by Stage,students_per_school_by_stage.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/students_per_school_by_stage.png,education_features_df,Shows education-capacity feature trends by target stage.
Education Capacity Feature Correlation,education_capacity_correlation_heatmap.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/education_capacity_correlation_heatmap.png,education_features_df,Shows correlation among education-capacity features to explain redundancy and relationships.
Latest School-Age Population Share by State,school_age_population_share_by_state.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/school_age_population_share_by_state.png,population_features_df,Shows compact demographic pressure by state.
Household Ratio versus Completion Gap,household_ratio_vs_completion_gap.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/household_ratio_vs_completion_gap.png,supervised_modelling_panel_df,Shows the relationship between household context and completion benchmark gap.
Economic Feature Data Age by Input Year,economic_data_age_by_year.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/economic_data_age_by_year.png,economic_features_df,Shows the staleness of as-of income and poverty features.
Lag-1 Completion Rate versus Next-Year Target,completion_lag_relationship_scatter.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/completion_lag_relationship_scatter.png,autoregressive_feature_panel_df,Shows the predictive relevance of recent completion history.
One-Year Completion-Rate Change Distribution,completion_change_distribution.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/completion_change_distribution.png,autoregressive_feature_panel_df,Shows year-to-year target-source volatility.
Rolling Two-Year Gap Mean versus Next-Year Target,rolling_gap_vs_target_scatter.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/rolling_gap_vs_target_scatter.png,autoregressive_feature_panel_df,Shows why rolling benchmark-gap history is useful as a predictor.
Modelling Panel Row Flow,modelling_panel_row_flow.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/modelling_panel_row_flow.png,main_target_panel_df; supervised_rows_df; train/test panels,Shows how rows flow from target preparation into supervised training and evaluation.
Feature Count by Feature Group,feature_group_count_bar.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/feature_group_count_bar.png,final_feature_registry_df,Shows which feature groups enter the final feature registry.
