Figure Name,Figure Filename,Full Saved Path,Source Table,Purpose,Figure Path,File Exists,File Size KB
Actual vs Predicted,actual_vs_predicted.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/actual_vs_predicted.png,test_predictions_df,Compare held-out actual and calibrated predicted completion-rate values,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/actual_vs_predicted.png,True,69.93
Actual versus Predicted with ±2pp Error Band,actual_vs_predicted_with_error_bands.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/actual_vs_predicted_with_error_bands.png,test_predictions_df,Shows prediction fit and a practical ±2 percentage-point error band.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/actual_vs_predicted_with_error_bands.png,True,99.43
Rule-Based Baseline MAE and RMSE,all_baseline_mae_rmse_comparison.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/all_baseline_mae_rmse_comparison.png,all_baseline_metrics_pre_svr_df,Shows core and rule-based baseline performance before model comparison.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/all_baseline_mae_rmse_comparison.png,True,60.86
Rule-Based Baseline R²,all_baseline_r2_comparison.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/all_baseline_r2_comparison.png,all_baseline_metrics_pre_svr_df,Shows baseline explanatory performance before SVR comparison.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/all_baseline_r2_comparison.png,True,52.75
Chronological Validation Fold Timeline,chronological_split_timeline.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/chronological_split_timeline.png,chronological_validation_folds_df,Shows that validation years occur after their training years.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/chronological_split_timeline.png,True,32.33
One-Year Completion-Rate Change Distribution,completion_change_distribution.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/completion_change_distribution.png,autoregressive_feature_panel_df,Shows year-to-year target-source volatility.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/completion_change_distribution.png,True,33.25
Mean Completion Gap from Malaysia by Stage,completion_gap_trend_by_stage.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/completion_gap_trend_by_stage.png,completion_rate_trend_source_df,Shows whether stage-level state averages sit above or below Malaysia over time.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/completion_gap_trend_by_stage.png,True,92.17
Lag-1 Completion Rate versus Next-Year Target,completion_lag_relationship_scatter.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/completion_lag_relationship_scatter.png,autoregressive_feature_panel_df,Shows the predictive relevance of recent completion history.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/completion_lag_relationship_scatter.png,True,85.11
Observed Completion Rate Trend by Sex,completion_rate_trend_by_sex.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/completion_rate_trend_by_sex.png,completion_rate_trend_source_df,Shows observed completion-rate trend differences by sex before modelling.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/completion_rate_trend_by_sex.png,True,70.32
Completion Rate Trend By Stage,completion_rate_trend_by_stage.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/completion_rate_trend_by_stage.png,Saved figure folder scan,Registered from figure directory because the file exists but was not previously listed in the visual evidence registry.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/completion_rate_trend_by_stage.png,True,203.2
Dataset Role Flow for Supervised Completion-Rate Prediction,dataset_role_flow_diagram.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/dataset_role_flow_diagram.png,selected_public_sector_datasets_df,"Shows how each raw data group contributes to target construction, feature engineering, and evaluation.",/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/dataset_role_flow_diagram.png,True,55.53
Economic Feature Data Age by Input Year,economic_data_age_by_year.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/economic_data_age_by_year.png,economic_features_df,Shows the staleness of as-of income and poverty features.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/economic_data_age_by_year.png,True,68.69
Education Capacity Feature Correlation,education_capacity_correlation_heatmap.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/education_capacity_correlation_heatmap.png,education_features_df,Shows correlation among education-capacity features to explain redundancy and relationships.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/education_capacity_correlation_heatmap.png,True,120.68
Error by Sex,error_by_sex.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/error_by_sex.png,error_by_sex_df,Compare held-out MAE across male and female rows,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/error_by_sex.png,True,19.48
Error by Stage,error_by_stage.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/error_by_stage.png,error_by_stage_df,Compare held-out MAE across school stages,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/error_by_stage.png,True,39.49
Error by State,error_by_state.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/error_by_state.png,error_by_state_df,Show states with highest held-out MAE,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/error_by_state.png,True,49.46
Expanded Baseline and SVR Comparison by MAE,expanded_baseline_mae_comparison.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/expanded_baseline_mae_comparison.png,expanded_model_comparison_metrics_df,Compares selected SVR against every rule-based baseline and Ridge using MAE.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/expanded_baseline_mae_comparison.png,True,121.4
Expanded Baseline and SVR Comparison by RMSE,expanded_baseline_rmse_comparison.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/expanded_baseline_rmse_comparison.png,expanded_model_comparison_metrics_df,Compares selected SVR against every rule-based baseline and Ridge using RMSE.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/expanded_baseline_rmse_comparison.png,True,122.68
Expanded MAE Comparison,expanded_mae_comparison.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/expanded_mae_comparison.png,expanded_model_comparison_metrics_df,Compares MAE across all evaluated methods.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/expanded_mae_comparison.png,True,77.62
Expanded Median Absolute Error Comparison,expanded_median_ae_comparison.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/expanded_median_ae_comparison.png,expanded_model_comparison_metrics_df,Compares Median_AE across all evaluated methods.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/expanded_median_ae_comparison.png,True,83.94
Expanded Model Metric Heatmap,expanded_model_metric_heatmap.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/expanded_model_metric_heatmap.png,expanded_model_comparison_metrics_df,"Shows all major regression metrics for SVR, baselines, and Ridge in one visual.",/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/expanded_model_metric_heatmap.png,True,110.16
Expanded R² Comparison,expanded_r2_comparison.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/expanded_r2_comparison.png,expanded_model_comparison_metrics_df,Compares R2 across all evaluated methods.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/expanded_r2_comparison.png,True,69.85
Expanded RMSE Comparison,expanded_rmse_comparison.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/expanded_rmse_comparison.png,expanded_model_comparison_metrics_df,Compares RMSE across all evaluated methods.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/expanded_rmse_comparison.png,True,79.86
Feature Count by Feature Group,feature_group_count_bar.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/feature_group_count_bar.png,final_feature_registry_df,Shows which feature groups enter the final feature registry.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/feature_group_count_bar.png,True,43.72
Feature Count by Interpreted Feature Group,feature_group_importance_summary.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/feature_group_importance_summary.png,feature_group_importance_summary.csv,Shows how feature count differs from diagnostic influence.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/feature_group_importance_summary.png,True,39.69
Feature Set Size Comparison,feature_set_size_comparison.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/feature_set_size_comparison.png,feature_set_registry_df,Shows feature-set complexity before validation.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/feature_set_size_comparison.png,True,51.41
SVR Feature Set Validation Metric Panel,feature_set_validation_metric_panel.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/feature_set_validation_metric_panel.png,feature_set_validation_metric_panel.csv,Summarises how feature sets compare across multiple validation metrics.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/feature_set_validation_metric_panel.png,True,78.51
